,date,TMAX,TMIN,TAVG
271,2015-12-20,48.0,26.0,37.0
272,2015-12-21,46.0,24.0,35.0
273,2015-12-22,47.0,27.0,37.0
274,2015-12-23,37.0,21.0,29.0
275,2015-12-24,35.0,15.0,25.0
276,2015-12-25,26.0,15.0,20.5
277,2015-12-26,19.0,3.0,11.0
278,2015-12-27,26.0,3.0,14.5
279,2015-12-28,26.0,0.0,13.0
280,2015-12-29,20.0,5.0,12.5
281,2015-12-30,26.0,2.0,14.0
282,2015-12-31,24.0,4.0,14.0
283,2016-01-01,35.0,6.0,20.5
284,2016-01-02,41.0,16.0,28.5
285,2016-01-03,46.0,15.0,30.5
286,2016-01-04,45.0,18.0,31.5
287,2016-01-05,45.0,23.0,34.0
288,2016-01-06,46.0,19.0,32.5
289,2016-01-07,35.0,28.0,31.5
290,2016-01-08,29.0,18.0,23.5
291,2016-01-09,28.0,6.0,17.0
292,2016-01-10,32.0,5.0,18.5
293,2016-01-11,40.0,12.0,26.0
294,2016-01-12,45.0,19.0,32.0
295,2016-01-13,51.0,22.0,36.5
296,2016-01-14,44.0,28.0,36.0
297,2016-01-15,33.0,19.0,26.0
298,2016-01-16,37.0,11.0,24.0
299,2016-01-17,38.0,12.0,25.0
300,2016-01-18,51.0,22.0,36.5
301,2016-01-19,40.0,26.0,33.0
302,2016-01-20,49.0,25.0,37.0
303,2016-01-21,40.0,21.0,30.5
304,2016-12-15,57.0,12.0,34.5
305,2016-12-16,50.0,4.0,27.0
306,2016-12-17,3.0,-15.0,-6.0
307,2016-12-18,17.0,-10.0,3.5
308,2016-12-19,43.0,4.0,23.5
309,2016-12-20,53.0,30.0,41.5
310,2016-12-21,53.0,26.0,39.5
311,2016-12-22,37.0,24.0,30.5
312,2016-12-23,49.0,24.0,36.5
313,2016-12-24,57.0,24.0,40.5
314,2016-12-25,46.0,20.0,33.0
315,2016-12-26,44.0,16.0,30.0
316,2016-12-27,53.0,13.0,33.0
317,2016-12-28,48.0,18.0,33.0
318,2016-12-29,47.0,17.0,32.0
319,2016-12-30,65.0,35.0,50.0
320,2016-12-31,41.0,13.0,27.0
321,2017-01-01,47.0,16.0,31.5
322,2017-01-02,52.0,15.0,33.5
323,2017-01-03,32.0,10.0,21.0
324,2017-01-04,12.0,4.0,8.0
325,2017-01-05,5.0,-2.0,1.5
326,2017-01-06,20.0,-7.0,6.5
327,2017-01-07,26.0,2.0,14.0
328,2017-01-08,48.0,12.0,30.0
329,2017-01-09,62.0,31.0,46.5
330,2017-01-10,52.0,32.0,42.0
331,2017-01-11,56.0,21.0,38.5
332,2017-01-12,40.0,18.0,29.0
333,2017-01-13,39.0,18.0,28.5
334,2017-01-14,42.0,22.0,32.0
335,2017-01-15,35.0,22.0,28.5
336,2017-01-16,35.0,27.0,31.0
337,2017-01-17,46.0,17.0,31.5
338,2017-01-18,52.0,21.0,36.5
339,2017-01-19,54.0,22.0,38.0
340,2017-01-20,45.0,26.0,35.5
341,2017-01-21,42.0,19.0,30.5
342,2017-12-15,63.0,22.0,42.5
343,2017-12-16,51.0,28.0,39.5
344,2017-12-17,41.0,22.0,31.5
345,2017-12-18,56.0,18.0,37.0
346,2017-12-19,55.0,21.0,38.0
347,2017-12-20,66.0,29.0,47.5
348,2017-12-21,37.0,4.0,20.5
349,2017-12-22,45.0,6.0,25.5
350,2017-12-23,41.0,7.0,24.0
351,2017-12-24,24.0,-4.0,10.0
352,2017-12-25,19.0,2.0,10.5
353,2017-12-26,10.0,4.0,7.0
354,2017-12-27,49.0,1.0,25.0
355,2017-12-28,46.0,25.0,35.5
356,2017-12-29,64.0,9.0,36.5
357,2017-12-30,39.0,8.0,23.5
358,2017-12-31,25.0,4.0,14.5
359,2018-01-01,28.0,3.0,15.5
360,2018-01-02,43.0,11.0,27.0
361,2018-01-03,53.0,17.0,35.0
362,2018-01-04,50.0,23.0,36.5
363,2018-01-05,56.0,25.0,40.5
364,2018-01-06,62.0,26.0,44.0
365,2018-01-07,48.0,26.0,37.0
366,2018-01-08,49.0,24.0,36.5
367,2018-01-09,68.0,34.0,51.0
368,2018-01-10,57.0,24.0,40.5
369,2018-01-11,43.0,21.0,32.0
370,2018-01-12,46.0,24.0,35.0
371,2018-01-13,48.0,19.0,33.5
372,2018-01-14,56.0,21.0,38.5
373,2018-01-15,30.0,-3.0,13.5
374,2018-01-16,34.0,-4.0,15.0
375,2018-01-17,51.0,15.0,33.0
376,2018-01-18,65.0,28.0,46.5
377,2018-01-19,67.0,35.0,51.0
378,2018-01-20,48.0,27.0,37.5
379,2018-01-21,28.0,23.0,25.5
380,2018-12-15,55.0,28.0,41.5
381,2018-12-16,60.0,25.0,42.5
382,2018-12-17,59.0,26.0,42.5
383,2018-12-18,57.0,25.0,41.0
384,2018-12-19,50.0,28.0,39.0
385,2018-12-20,48.0,19.0,33.5
386,2018-12-21,63.0,24.0,43.5
387,2018-12-22,38.0,15.0,26.5
388,2018-12-23,52.0,11.0,31.5
389,2018-12-24,47.0,20.0,33.5
390,2018-12-25,47.0,20.0,33.5
391,2018-12-26,37.0,19.0,28.0
392,2018-12-27,30.0,13.0,21.5
393,2018-12-28,22.0,9.0,15.5
394,2018-12-29,39.0,5.0,22.0
395,2018-12-30,53.0,27.0,40.0
396,2018-12-31,32.0,0.0,16.0
397,2019-01-01,12.0,-5.0,3.5
398,2019-01-02,38.0,2.0,20.0
399,2019-01-03,56.0,16.0,36.0
400,2019-01-04,62.0,30.0,46.0
401,2019-01-05,60.0,33.0,46.5
402,2019-01-06,58.0,30.0,44.0
403,2019-01-07,52.0,16.0,34.0
404,2019-01-08,50.0,22.0,36.0
405,2019-01-09,50.0,23.0,36.5
406,2019-01-10,61.0,28.0,44.5
407,2019-01-11,44.0,32.0,38.0
408,2019-01-12,35.0,17.0,26.0
409,2019-01-13,35.0,17.0,26.0
410,2019-01-14,43.0,20.0,31.5
411,2019-01-15,46.0,21.0,33.5
412,2019-01-16,46.0,29.0,37.5
413,2019-01-17,54.0,32.0,43.0
414,2019-01-18,41.0,23.0,32.0
415,2019-01-19,48.0,22.0,35.0
416,2019-01-20,55.0,33.0,44.0
417,2019-01-21,58.0,22.0,40.0
418,2019-12-15,31.0,17.0,24.0
419,2019-12-16,32.0,16.0,24.0
420,2019-12-17,42.0,15.0,28.5
421,2019-12-18,57.0,27.0,42.0
422,2019-12-19,44.0,20.0,32.0
423,2019-12-20,54.0,17.0,35.5
424,2019-12-21,65.0,29.0,47.0
425,2019-12-22,67.0,36.0,51.5
426,2019-12-23,62.0,37.0,49.5
427,2019-12-24,51.0,33.0,42.0
428,2019-12-25,54.0,23.0,38.5
429,2019-12-26,39.0,17.0,28.0
430,2019-12-27,35.0,20.0,27.5
431,2019-12-28,29.0,20.0,24.5
432,2019-12-29,30.0,3.0,16.5
433,2019-12-30,31.0,3.0,17.0
434,2019-12-31,44.0,18.0,31.0
435,2020-01-01,50.0,24.0,37.0
436,2020-01-02,45.0,27.0,36.0
437,2020-01-03,48.0,19.0,33.5
438,2020-01-04,62.0,28.0,45.0
439,2020-01-05,45.0,23.0,34.0
440,2020-01-06,43.0,23.0,33.0
441,2020-01-07,58.0,27.0,42.5
442,2020-01-08,62.0,28.0,45.0
443,2020-01-09,43.0,24.0,33.5
444,2020-01-10,31.0,9.0,20.0
445,2020-01-11,43.0,7.0,25.0
446,2020-01-12,44.0,20.0,32.0
447,2020-01-13,46.0,15.0,30.5
448,2020-01-14,58.0,19.0,38.5
449,2020-01-15,47.0,15.0,31.0
450,2020-01-16,37.0,18.0,27.5
451,2020-01-17,55.0,19.0,37.0
452,2020-01-18,45.0,12.0,28.5
453,2020-01-19,46.0,11.0,28.5
454,2020-01-20,52.0,18.0,35.0
455,2020-01-21,52.0,30.0,41.0
456,2020-12-15,32.0,8.0,20.0
457,2020-12-16,40.0,18.0,29.0
458,2020-12-17,47.0,21.0,34.0
459,2020-12-18,38.0,18.0,28.0
460,2020-12-19,44.0,16.0,30.0
461,2020-12-20,49.0,17.0,33.0
462,2020-12-21,57.0,34.0,45.5
463,2020-12-22,63.0,28.0,45.5
464,2020-12-23,30.0,13.0,21.5
465,2020-12-24,52.0,19.0,35.5
466,2020-12-25,60.0,31.0,45.5
467,2020-12-26,61.0,29.0,45.0
468,2020-12-27,46.0,26.0,36.0
469,2020-12-28,30.0,25.0,27.5
470,2020-12-29,33.0,15.0,24.0
471,2020-12-30,44.0,7.0,25.5
472,2020-12-31,43.0,19.0,31.0
473,2021-01-01,42.0,22.0,32.0
474,2021-01-02,52.0,23.0,37.5
475,2021-01-03,53.0,23.0,38.0
476,2021-01-04,57.0,26.0,41.5
477,2021-01-05,55.0,28.0,41.5
478,2021-01-06,44.0,20.0,32.0
479,2021-01-07,45.0,20.0,32.5
480,2021-01-08,43.0,19.0,31.0
481,2021-01-09,32.0,24.0,28.0
482,2021-01-10,32.0,19.0,25.5
483,2021-01-11,44.0,17.0,30.5
484,2021-01-12,54.0,17.0,35.5
485,2021-01-13,63.0,37.0,50.0
486,2021-01-14,46.0,24.0,35.0
487,2021-01-15,45.0,16.0,30.5
488,2021-01-16,48.0,24.0,36.0
489,2021-01-17,50.0,26.0,38.0
490,2021-01-18,39.0,22.0,30.5
491,2021-01-19,40.0,21.0,30.5
492,2021-01-20,59.0,22.0,40.5
493,2021-01-21,49.0,26.0,37.5
494,2021-12-15,54.0,19.0,36.5
495,2021-12-16,52.0,16.0,34.0
496,2021-12-17,44.0,11.0,27.5
497,2021-12-18,45.0,4.0,24.5
498,2021-12-19,61.0,27.0,44.0
499,2021-12-20,60.0,25.0,42.5
500,2021-12-21,63.0,23.0,43.0
501,2021-12-22,64.0,29.0,46.5
502,2021-12-23,62.0,32.0,47.0
503,2021-12-24,52.0,29.0,40.5
504,2021-12-25,55.0,26.0,40.5
505,2021-12-26,53.0,19.0,36.0
506,2021-12-27,48.0,10.0,29.0
507,2021-12-28,33.0,15.0,24.0
508,2021-12-29,33.0,11.0,22.0
509,2021-12-30,49.0,15.0,32.0
510,2021-12-31,39.0,9.0,24.0
511,2022-01-01,8.0,-9.0,-0.5
512,2022-01-02,40.0,7.0,23.5
513,2022-01-03,51.0,22.0,36.5
514,2022-01-04,47.0,18.0,32.5
515,2022-01-05,34.0,1.0,17.5
516,2022-01-06,27.0,-2.0,12.5
517,2022-01-07,57.0,18.0,37.5
518,2022-01-08,43.0,24.0,33.5
519,2022-01-09,34.0,19.0,26.5
520,2022-01-10,56.0,24.0,40.0
521,2022-01-11,57.0,30.0,43.5
522,2022-01-12,58.0,30.0,44.0
523,2022-01-13,62.0,34.0,48.0
524,2022-01-14,45.0,24.0,34.5
525,2022-01-15,50.0,18.0,34.0
526,2022-01-16,57.0,22.0,39.5
527,2022-01-17,62.0,24.0,43.0
528,2022-01-18,58.0,24.0,41.0
529,2022-01-19,31.0,17.0,24.0
530,2022-01-20,39.0,16.0,27.5
531,2022-01-21,36.0,16.0,26.0
